Year,City,Latitude,Longitude
2003,Washington DC,0,0
2004,Washington DC,38.9072,-77.0369
2005,Washington DC,38.9072,-77.0369
2006,Dallas,32.7767,-96.7970
2007,Dallas,32.7767,-96.7970
2008,Chicago,41.8781,-87.6298
2009,Chicago,41.8781,-87.6298
2010,Atlanta,33.7490,-84.3880
2011,Atlanta,33.7490,-84.3880
2012,Santa Clara,37.3541,-121.9552
2013,Santa Clara,37.3541,-121.9552
2014,Montreal,45.5017,-73.5673
2015,Montreal,45.5017,-73.5673
2016,Portland,45.5051,-122.6750
2017,Portland,0,0
2018,Cleveland,41.4993,-81.6944
2019,Cleveland,41.4993,-81.6944
2020,Pittsburgh,40.4406,-79.9959